step,lr
4,1e-06
8,0.0001
12,0.0001
16,0.0001
20,0.0001
24,0.0001
28,0.0001
32,0.0001
36,0.0001
40,0.0001
44,0.0001
48,0.0001
52,0.0001
56,0.0001
60,0.0001
64,0.0001
68,0.0001
72,0.0001
76,0.0001
80,0.0001
84,0.0001
88,0.0001
92,0.0001
96,0.0001
100,0.0001
104,0.0001
108,0.0001
112,0.0001
116,0.0001
120,0.0001
124,0.0001
128,0.0001
132,0.0001
136,0.0001
140,0.0001
144,0.0001
148,0.0001
152,0.0001
156,0.0001
160,0.0001
164,0.0001
168,0.0001
172,0.0001
176,0.0001
180,0.0001
184,0.0001
188,0.0001
192,0.0001
196,0.0001
200,0.0001
204,0.0001
208,0.0001
212,0.0001
216,0.0001
220,0.0001
224,0.0001
228,0.0001
232,0.0001
236,0.0001
240,0.0001
244,0.0001
248,0.0001
252,0.0001
256,0.0001
260,0.0001
264,0.0001
268,0.0001
272,0.0001
276,0.0001
280,0.0001
284,0.0001
288,0.0001
292,0.0001
296,0.0001
300,0.0001
304,0.0001
308,0.0001
312,0.0001
316,0.0001
320,0.0001
324,0.0001
328,0.0001
332,0.0001
336,0.0001
340,0.0001
344,0.0001
348,0.0001
352,0.0001
356,0.0001
360,0.0001
364,0.0001
368,0.0001
372,0.0001
376,0.0001
380,0.0001
384,0.0001
388,0.0001
392,0.0001
396,0.0001
400,0.0001
404,0.0001
408,0.0001
412,0.0001
416,0.0001
420,0.0001
424,0.0001
428,0.0001
432,0.0001
436,0.0001
440,0.0001
444,0.0001
448,0.0001
452,0.0001
456,0.0001
460,0.0001
464,0.0001
468,0.0001
472,0.0001
476,0.0001
480,0.0001
484,0.0001
488,0.0001
492,0.0001
496,0.0001
500,0.0001
504,0.0001
508,0.0001
512,0.0001
516,0.0001
520,0.0001
524,0.0001
528,0.0001
532,0.0001
536,0.0001
540,0.0001
544,0.0001
548,0.0001
552,0.0001
556,0.0001
560,0.0001
564,0.0001
568,0.0001
572,0.0001
576,0.0001
580,0.0001
584,0.0001
588,0.0001
592,0.0001
596,0.0001
600,0.0001
604,0.0001
608,0.0001
612,0.0001
616,0.0001
620,0.0001
624,0.0001
628,0.0001
632,0.0001
636,0.0001
640,0.0001
644,0.0001
648,0.0001
652,0.0001
656,0.0001
660,0.0001
664,0.0001
668,0.0001
672,0.0001
676,0.0001
680,0.0001
684,0.0001
688,0.0001
692,0.0001
696,0.0001
700,0.0001
704,0.0001
708,0.0001
712,0.0001
716,0.0001
720,0.0001
724,0.0001
728,0.0001
732,0.0001
736,0.0001
740,0.0001
744,0.0001
748,0.0001
752,0.0001
756,0.0001
760,0.0001
764,0.0001
768,0.0001
772,0.0001
776,0.0001
780,0.0001
784,0.0001
788,0.0001
792,0.0001
796,0.0001
800,0.0001
804,0.0001
808,0.0001
812,0.0001
816,0.0001
820,0.0001
824,0.0001
828,0.0001
832,0.0001
836,0.0001
840,0.0001
844,0.0001
848,0.0001
852,0.0001
856,0.0001
860,0.0001
864,0.0001
868,0.0001
872,0.0001
876,0.0001
880,0.0001
884,0.0001
888,0.0001
892,0.0001
896,0.0001
900,0.0001
904,0.0001
908,0.0001
912,0.0001
916,0.0001
920,0.0001
924,0.0001
928,0.0001
932,0.0001
936,0.0001
940,0.0001
944,0.0001
948,0.0001
952,0.0001
956,0.0001
960,0.0001
964,0.0001
968,0.0001
972,0.0001
976,0.0001
980,0.0001
984,0.0001
988,0.0001
992,0.0001
996,0.0001
1000,0.0001
1004,0.0001
1008,0.0001
1012,0.0001
1016,0.0001
1020,0.0001
1024,0.0001
1028,0.0001
1032,0.0001
1036,0.0001
1040,0.0001
1044,0.0001
1048,0.0001
1052,0.0001
1056,0.0001
1060,0.0001
1064,0.0001
1068,0.0001
1072,0.0001
1076,0.0001
1080,0.0001
1084,0.0001
1088,0.0001
1092,0.0001
1096,0.0001
1100,0.0001
1104,0.0001
1108,0.0001
1112,0.0001
1116,0.0001
1120,0.0001
1124,0.0001
1128,0.0001
1132,0.0001
1136,0.0001
1140,0.0001
1144,0.0001
1148,0.0001
1152,0.0001
1156,0.0001
1160,0.0001
1164,0.0001
1168,0.0001
1172,0.0001
1176,0.0001
1180,0.0001
1184,0.0001
1188,0.0001
1192,0.0001
1196,0.0001
1200,0.0001
1204,0.0001
1208,0.0001
1212,0.0001
1216,0.0001
1220,0.0001
1224,0.0001
1228,0.0001
1232,0.0001
1236,0.0001
1240,0.0001
1244,0.0001
1248,0.0001
1252,0.0001
1256,0.0001
1260,0.0001
1264,0.0001
1268,0.0001
1272,0.0001
1276,0.0001
1280,0.0001
1284,0.0001
1288,0.0001
1292,0.0001
1296,0.0001
1300,0.0001
1304,0.0001
1308,0.0001
1312,0.0001
1316,0.0001
1320,0.0001
1324,0.0001
1328,0.0001
1332,0.0001
1336,0.0001
1340,0.0001
1344,0.0001
1348,0.0001
1352,0.0001
1356,0.0001
1360,0.0001
1364,0.0001
1368,0.0001
1372,0.0001
1376,0.0001
1380,0.0001
1384,0.0001
1388,0.0001
1392,0.0001
1396,0.0001
1400,0.0001
1404,0.0001
1408,0.0001
1412,0.0001
1416,0.0001
1420,0.0001
1424,0.0001
1428,0.0001
1432,0.0001
1436,0.0001
1440,0.0001
1444,0.0001
1448,0.0001
1452,0.0001
1456,0.0001
1460,0.0001
1464,0.0001
1468,0.0001
1472,0.0001
1476,0.0001
1480,0.0001
1484,0.0001
1488,0.0001
1492,0.0001
1496,0.0001
1500,0.0001
1504,0.0001
1508,0.0001
1512,0.0001
1516,0.0001
1520,0.0001
1524,0.0001
1528,0.0001
1532,0.0001
1536,0.0001
1540,0.0001
1544,0.0001
1548,0.0001
1552,0.0001
1556,0.0001
1560,0.0001
1564,0.0001
1568,0.0001
1572,0.0001
1576,0.0001
1580,0.0001
1584,0.0001
1588,0.0001
1592,0.0001
1596,0.0001
1600,0.0001
1604,0.0001
1608,0.0001
1612,0.0001
1616,0.0001
1620,0.0001
1624,0.0001
1628,0.0001
1632,0.0001
1636,0.0001
1640,0.0001
1644,0.0001
1648,0.0001
1652,0.0001
1656,0.0001
1660,0.0001
1664,0.0001
1668,0.0001
1672,0.0001
1676,0.0001
1680,0.0001
1684,0.0001
1688,0.0001
1692,0.0001
1696,0.0001
1700,0.0001
1704,0.0001
1708,0.0001
1712,0.0001
1716,0.0001
1720,0.0001
1724,0.0001
1728,0.0001
1732,0.0001
1736,0.0001
1740,0.0001
1744,0.0001
1748,0.0001
1752,0.0001
1756,0.0001
1760,0.0001
1764,0.0001
1768,0.0001
1772,0.0001
1776,0.0001
1780,0.0001
1784,0.0001
1788,0.0001
1792,0.0001
1796,0.0001
1800,0.0001
1804,0.0001
1808,0.0001
1812,0.0001
1816,0.0001
1820,0.0001
1824,0.0001
1828,0.0001
1832,0.0001
1836,0.0001
1840,0.0001
1844,0.0001
1848,0.0001
1852,0.0001
1856,0.0001
1860,0.0001
1864,0.0001
1868,0.0001
1872,0.0001
1876,0.0001
1880,0.0001
1884,0.0001
1888,0.0001
1892,0.0001
1896,0.0001
1900,0.0001
1904,0.0001
1908,0.0001
1912,0.0001
1916,0.0001
1920,0.0001
1924,0.0001
1928,0.0001
1932,0.0001
1936,0.0001
1940,0.0001
1944,0.0001
1948,0.0001
1952,0.0001
1956,0.0001
1960,0.0001
1964,0.0001
1968,0.0001
1972,0.0001
1976,0.0001
1980,0.0001
1984,0.0001
1988,0.0001
1992,0.0001
1996,0.0001
2000,0.0001
2004,0.0001
2008,0.0001
2012,0.0001
2016,0.0001
2020,0.0001
2024,0.0001
2028,0.0001
2032,0.0001
2036,0.0001
2040,0.0001
2044,0.0001
2048,0.0001
2052,0.0001
2056,0.0001
2060,0.0001
2064,0.0001
2068,0.0001
2072,0.0001
2076,0.0001
2080,0.0001
2084,0.0001
2088,0.0001
2092,0.0001
2096,0.0001
2100,0.0001
2104,0.0001
2108,0.0001
2112,0.0001
2116,0.0001
2120,0.0001
2124,0.0001
2128,0.0001
2132,0.0001
2136,0.0001
2140,0.0001
2144,0.0001
2148,0.0001
2152,0.0001
2156,0.0001
2160,0.0001
2164,0.0001
2168,0.0001
2172,0.0001
2176,0.0001
2180,0.0001
2184,0.0001
2188,0.0001
2192,0.0001
2196,0.0001
2200,0.0001
2204,0.0001
2208,0.0001
2212,0.0001
2216,0.0001
2220,0.0001
2224,0.0001
2228,0.0001
2232,0.0001
2236,0.0001
2240,0.0001
2244,0.0001
2248,0.0001
2252,0.0001
2256,0.0001
2260,0.0001
2264,0.0001
2268,0.0001
2272,0.0001
2276,0.0001
2280,0.0001
2284,0.0001
2288,0.0001
2292,0.0001
2296,0.0001
2300,0.0001
2304,0.0001
2308,0.0001
2312,0.0001
2316,0.0001
2320,0.0001
2324,0.0001
2328,0.0001
2332,0.0001
2336,0.0001
2340,0.0001
2344,0.0001
2348,0.0001
2352,0.0001
2356,0.0001
2360,0.0001
2364,0.0001
2368,0.0001
2372,0.0001
