## Wed Dec 27 23:47:52 2023
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_gxfr40pc --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_gxfr40pc --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_gxfr40pc/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
0	178306.PAE1561	7.86e-132	374.0	COG0105@1|root,arCOG04313@2157|Archaea,2XQEV@28889|Crenarchaeota	28889|Crenarchaeota	F	Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate	ndk	GO:0003674,GO:0003824,GO:0004550,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006165,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009117,GO:0009132,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0019205,GO:0019637,GO:0034641,GO:0044237,GO:0044238,GO:0044281,GO:0044464,GO:0046483,GO:0046939,GO:0055086,GO:0071704,GO:1901360	2.7.4.6	ko:K00940	ko00230,ko00240,ko00983,ko01100,ko01110,ko01130,ko04016,map00230,map00240,map00983,map01100,map01110,map01130,map04016	M00049,M00050,M00052,M00053	R00124,R00139,R00156,R00330,R00570,R00722,R01137,R01857,R02093,R02326,R02331,R03530,R11894,R11895	RC00002	ko00000,ko00001,ko00002,ko01000,ko04131	-	-	-	NDK
1	161934.XP_010689313.1	7.58e-147	415.0	COG0723@1|root,KOG1671@2759|Eukaryota,37J4P@33090|Viridiplantae,3G8VW@35493|Streptophyta	35493|Streptophyta	C	Cytochrome b6-f complex iron-sulfur subunit	-	-	1.10.9.1	ko:K02636	ko00195,ko01100,map00195,map01100	M00162	R03817,R08409	RC01002	ko00000,ko00001,ko00002,ko00194,ko01000	-	-	-	CytB6-F_Fe-S,Rieske
2	9258.ENSOANP00000032491	1.47e-52	169.0	COG5244@1|root,KOG4568@2759|Eukaryota,38C49@33154|Opisthokonta,3B97D@33208|Metazoa,3CT1N@33213|Bilateria,4811Q@7711|Chordata,49858@7742|Vertebrata,3J99C@40674|Mammalia	33208|Metazoa	Z	microtubule anchoring	CEP350	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005813,GO:0005814,GO:0005815,GO:0005856,GO:0015630,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044450,GO:0044464	-	ko:K16768	-	-	-	-	ko00000,ko03036	-	-	-	CAP_GLY,DUF4378
3	868131.MSWAN_0547	1.33e-30	111.0	COG1872@1|root,arCOG04058@2157|Archaea,2XZV9@28890|Euryarchaeota,23PVJ@183925|Methanobacteria	183925|Methanobacteria	S	Belongs to the UPF0235 family	-	-	-	ko:K09131	-	-	-	-	ko00000	-	-	-	DUF167
4	10090.ENSMUSP00000034527	0.0	1052.0	28MUX@1|root,2QW5F@2759|Eukaryota,39TW3@33154|Opisthokonta,3BFXU@33208|Metazoa,3CX9S@33213|Bilateria,4887C@7711|Chordata,48ZF8@7742|Vertebrata,3J8CD@40674|Mammalia,35INV@314146|Euarchontoglires,4Q7BP@9989|Rodentia	33208|Metazoa	S	Neurexophilin	NXPE2	-	-	-	-	-	-	-	-	-	-	-	Neurexophilin
5	9606.ENSP00000407726	2.13e-298	829.0	COG2304@1|root,2QRPK@2759|Eukaryota,38DTU@33154|Opisthokonta,3BAKW@33208|Metazoa,3D0NY@33213|Bilateria,48AYV@7711|Chordata,48XR3@7742|Vertebrata,3JEFH@40674|Mammalia,35D3D@314146|Euarchontoglires,4MFS5@9443|Primates,4N5CG@9604|Hominidae	33208|Metazoa	S	Vault protein Inter-alpha-Trypsin domain	VWA5A	GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0031974,GO:0031981,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0070013	-	-	-	-	-	-	-	-	-	-	VIT,VWA_3
7	224308.BSU14650	1.26e-152	429.0	COG4493@1|root,COG4493@2|Bacteria,1UY83@1239|Firmicutes,4HEDB@91061|Bacilli,1ZCEH@1386|Bacillus	91061|Bacilli	S	Belongs to the UPF0637 family	yktB	-	-	-	-	-	-	-	-	-	-	-	DUF1054
8	226186.BT_3808	2.94e-226	622.0	COG1208@1|root,COG1208@2|Bacteria,4PKJR@976|Bacteroidetes,2G07F@200643|Bacteroidia,4AKG8@815|Bacteroidaceae	976|Bacteroidetes	JM	COG NOG09722 non supervised orthologous group	-	-	-	-	-	-	-	-	-	-	-	-	NTP_transferase
9	7227.FBpp0303321	9.33e-144	424.0	2DCHB@1|root,2S5K1@2759|Eukaryota,3A6HY@33154|Opisthokonta,3BSN5@33208|Metazoa,3DA77@33213|Bilateria,420BV@6656|Arthropoda,3SMU1@50557|Insecta,44XVK@7147|Diptera,45R37@7214|Drosophilidae	33208|Metazoa	K	DNA- binding	dan	GO:0001654,GO:0003002,GO:0003674,GO:0003700,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0007275,GO:0007379,GO:0007389,GO:0007399,GO:0007417,GO:0007423,GO:0007444,GO:0007469,GO:0008150,GO:0009653,GO:0009888,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0021551,GO:0021556,GO:0031323,GO:0031326,GO:0032501,GO:0032502,GO:0035107,GO:0035114,GO:0035214,GO:0035282,GO:0035295,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0048513,GO:0048646,GO:0048731,GO:0048736,GO:0048737,GO:0048749,GO:0048856,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0060429,GO:0065007,GO:0080090,GO:0140110,GO:1903506,GO:2000112,GO:2001141	-	-	-	-	-	-	-	-	-	-	CENP-B_N
10	264732.Moth_0618	3.15e-68	206.0	2E3EN@1|root,32YDN@2|Bacteria,1VF4W@1239|Firmicutes,24RT6@186801|Clostridia,42GU5@68295|Thermoanaerobacterales	186801|Clostridia	S	Domain of unknown function (DUF4160)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4160
11	224308.BSU17160	2.85e-186	518.0	COG1024@1|root,COG1024@2|Bacteria,1TRCQ@1239|Firmicutes,4HDUU@91061|Bacilli,1ZARB@1386|Bacillus	91061|Bacilli	I	enoyl-CoA hydratase	-	-	-	ko:K15312	-	-	-	-	ko00000,ko01008	-	-	-	ECH_1
